Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Custom id identifier for product (product.metafields.kwik-cart.custom-id),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Hide product from search (product.metafields.seo.hidden),Adhesive type (product.metafields.shopify.adhesive-type),Building board material (product.metafields.shopify.building-board-material),Color (product.metafields.shopify.color-pattern),Durability features (product.metafields.shopify.durability-features),Finish (product.metafields.shopify.finish),Floor protection transparency level (product.metafields.shopify.floor-protection-transparency-level),Material (product.metafields.shopify.material),Pattern match type (product.metafields.shopify.pattern-match-type),Placement supported (product.metafields.shopify.placement-supported),Shape (product.metafields.shopify.shape),Theme (product.metafields.shopify.theme),Wallpaper application method (product.metafields.shopify.wallpaper-application-method),Wallpaper removal type (product.metafields.shopify.wallpaper-removal-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
non-self-adhesive-dark-blue-garden-58-sqft-wallpaper,Non Self Adhesive Dark Blue Garden 58 SQFT Wallpaper,"",Nidhi Decor ,Uncategorized,"","",true,Title,Default Title,,,,,,,,a100,100.0,shopify,10,deny,manual,1299.00,2000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_35_58PM.png?v=1779525293,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
non-self-adhesive-dark-blue-garden-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_31_29PM.png?v=1779525293,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-self-adhesive-dark-blue-garden-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_31_36PM.png?v=1779525293,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-self-adhesive-dark-blue-garden-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_31_13PM.png?v=1779525293,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-self-adhesive-dark-blue-garden-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_31_24PM.png?v=1779525293,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-self-adhesive-dark-blue-garden-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_31_42PM.png?v=1779525294,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-self-adhesive-purple-royal-design-58-sqft-wallpaper,Non Self Adhesive Purple Royal Design 58 SQFT Wallpaper,"",Nidhi Decor ,Uncategorized,"","",true,Title,Default Title,,,,,,,,c2,100.0,shopify,10,deny,manual,999.00,2000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_56_15PM_8e4ea959-8cfa-4b9c-9861-bbdf1a09209d.png?v=1779524523,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
non-self-adhesive-purple-royal-design-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_56_31PM.png?v=1779524523,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-self-adhesive-purple-royal-design-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_56_02PM.png?v=1779524523,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-self-adhesive-purple-royal-design-58-sqft-wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6758/5673/files/ChatGPTImageMay23_2026_12_56_21PM.png?v=1779524523,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
